库,f,w,S,表达式,sign,w归,贡献
h5,1261,0.03866093711419628,0.5,"div(ts_std(ema(returns,10),5),ema(mul(low,ts_argmin(ts_min(r",1.0,0.0008103700607757903,0.0004051850303878951
h5,1291,0.17825027723807732,-0.65,"ts_std(low,10)",1.0,0.003736295568109256,-0.0024285921192710165
h5,1292,0.18945155871280733,1.0,"ts_std(ts_std(div(ts_decay_linear(high,60),high),10),10)",1.0,0.0039710850953944225,0.0039710850953944225
h5,1293,0.2764082648461079,0.25,"ts_argmax(mul(ts_sum(delay(entropy120,244),40),mul(ts_std(ts",-1.0,0.0057937804694346414,0.0014484451173586604
h5,1294,0.11902307913324536,-1.0,"ts_argmax(mul(ts_mean(ts_sum(beta120,5),244),add(ts_argmax(r",-1.0,0.002494837090627903,-0.002494837090627903
h5,1295,0.2516764309365594,0.19999999999999996,"ts_argmax(mul(high,mul(ts_sum(delay(entropy120,244),40),ts_s",-1.0,0.0052753776772524975,0.0010550755354504992
h5,1296,0.15752988182486252,-0.17500000000000004,"ts_std(ts_rank(high,3),10)",-1.0,0.003301976347116044,-0.0005778458607453078
h1_s42,29,0.04755381630460969,0.3500000000000001,"ts_std(returns,3)",1.0,0.0007828946087971947,0.00027401311307901824
h1_s42,31,0.004484350777448545,-0.9,"delay(abs(amt_ent),40)",1.0,7.382738800880747e-05,-6.644464920792672e-05
h1_s42,56,0.10450427231516254,0.25,"ts_std(returns,5)",1.0,0.0017204892845557754,0.00043012232113894385
h1_s42,173,0.020386495708380102,0.6,low,-1.0,0.0003356297942550361,0.00020137787655302163
h1_s42,188,0.06647509915711039,0.95,"slog(ts_std(ssqrt(ts_std(open,10)),3))",1.0,0.0010944021067835058,0.0010396820014443304
h1_s42,199,0.006437989882897903,0.3500000000000001,"abs(ts_std(ssqrt(returns),3))",1.0,0.00010599081130578088,3.709678395702331e-05
h1_s42,200,0.04206646323740799,0.30000000000000004,"ts_std(volume,5)",1.0,0.00069255445385862,0.00020776633615758605
h1_s42,220,0.018455626315466666,-0.09999999999999998,"abs(slog(ts_min(returns,5)))",1.0,0.00030384123645937276,-3.038412364593727e-05
h1_s42,235,0.013646345994004615,0.95,"ema(slog(ts_max(ssqrt(ts_argmin(amount,10)),10)),244)",-1.0,0.00022466442314645054,0.000213431201989128
h1_s42,236,0.058016081719269655,0.95,"ema(ts_min(ts_zscore(volume,40),20),3)",-1.0,0.0009551384332775582,0.0009073815116136802
h1_s42,262,0.062312976534428625,0.3999999999999999,"ts_std(ts_decay_linear(returns,3),3)",1.0,0.0010258796701912922,0.0004103518680765168
h1_s42,263,0.13561498809211223,-0.15000000000000002,"ts_std(ts_decay_linear(volume,3),3)",1.0,0.0022326755516174734,-0.0003349013327426211
h1_s42,265,0.05401465261735229,-0.85,"ts_std(ts_std(ts_mean(ts_std(volume,10),20),3),3)",1.0,0.0008892615486273637,-0.0007558723163332592
h1_s42,296,0.12659455032940328,-0.85,"ts_std(abs(ts_std(ts_decay_linear(returns,120),3)),3)",1.0,0.0020841690248609465,-0.0017715436711318044
h1_s42,298,0.06908169907181409,-0.19999999999999996,"ts_std(abs(limit_net),3)",1.0,0.0011373154453774251,-0.00022746308907548499
h1_s42,329,0.07678887281932728,0.3999999999999999,"ts_std(ts_sum(returns,10),20)",1.0,0.0012642012611727485,0.0005056805044690993
h1_s42,359,0.11242498174759626,0.55,"ts_std(open,20)",1.0,0.0018508906107664823,0.0010179898359215654
h1_s42,388,0.0796573275174144,-0.5,"ts_std(sub(sub(open,high),delay(ts_min(limit_net,244),5)),3)",1.0,0.0013114256038906159,-0.0006557128019453079
h1_s42,414,0.06976087757982319,-0.5,"abs(mul(mul(ts_std(returns,3),mul(ts_std(returns,5),ts_max(n",1.0,0.0011484969915424108,-0.0005742484957712054
h1_s42,415,0.06733614754028398,0.1499999999999999,"abs(mul(mul(ts_std(returns,5),sub(ts_std(returns,3),returns)",1.0,0.0011085778383963395,0.0001662866757594508
h1_s42,417,0.10646034663014646,-0.9,"abs(mul(ts_std(returns,5),ts_mean(ts_sum(nhnl,10),244)))",1.0,0.0017526927995333763,-0.0015774235195800386
h1_s42,459,0.15065526907070548,0.7749999999999999,"ts_max(returns,20)",1.0,0.002480288799259056,0.0019222238194257682
h1_s42,460,0.001949674441556853,0.8999999999999999,"slog(slog(ts_std(div(close,high),20)))",1.0,3.209815169043708e-05,2.8888336521393368e-05
h1_s42,462,0.08187404096750457,-0.6,"div(ts_std(returns,3),xskew)",1.0,0.001347920109362211,-0.0008087520656173266
h1_s42,623,0.020320115619187958,0.30000000000000004,"ts_sum(sub(ts_corr(low,disp,120),ts_sum(returns,120)),120)",1.0,0.0003345369563295346,0.00010036108689886039
h1_s42,648,0.03592287919902989,-0.75,"ts_std(ts_std(returns,3),5)",1.0,0.0005914105458380881,-0.00044355790937856607
