,p六库,恐慌,仓位,收益,标的开→开,货基,库数
2015-08-04,-0.35685628517455453,1,0.0,0.0,,0.0,4
2015-08-05,-0.8216915466908868,1,0.0,0.0,,0.0,4
2015-08-06,-0.9262044738664469,0,0.0,0.0,,0.0,4
2015-08-07,-0.8414147139054654,0,0.0,0.00014647865317751751,,0.00014647865317751751,4
2015-08-10,-0.2591368332505417,0,0.0,3.90552534197397e-05,,3.90552534197397e-05,4
2015-08-11,-0.680739636805482,0,0.0,0.0,,0.0,4
2015-08-12,-0.8359103849573529,0,0.0,9.763432041620668e-05,,9.763432041620668e-05,4
2015-08-13,-0.7897879488810198,0,0.0,6.833735222055992e-05,,6.833735222055992e-05,4
2015-08-14,-0.9776492756785788,0,0.0,0.00018547442405325576,,0.00018547442405325576,4
2015-08-17,-0.9262044738664469,0,0.0,0.00010736001717748245,,0.00010736001717748245,4
2015-08-18,-0.2026336803077805,1,0.0,4.879476920072179e-05,,4.879476920072179e-05,4
2015-08-19,-0.5342986277935861,1,0.0,6.830934374235653e-05,,6.830934374235653e-05,4
2015-08-20,-0.6431184679619916,1,0.0,4.878905563887592e-05,,4.878905563887592e-05,4
2015-08-21,-0.2015876861582934,1,0.0,0.0001561173612263378,,0.0001561173612263378,4
2015-08-24,0.049796219562960126,1,0.0,4.8779060125125895e-05,,4.8779060125125895e-05,4
2015-08-25,0.21842371204225117,1,0.0,0.0,,0.0,4
2015-08-26,0.20518959445427912,1,0.0,7.80434506912897e-05,,7.80434506912897e-05,4
2015-08-27,0.0386248525965566,1,0.0,9.754670048289782e-05,,9.754670048289782e-05,4
2015-08-28,-0.11558658798497715,1,0.0,0.00022433552792011646,,0.00022433552792011646,4
2015-08-31,-0.7248088404346359,1,0.0,3.9006123961460304e-05,,3.9006123961460304e-05,4
2015-09-01,-0.34221554856648645,1,0.0,0.00038029487479507296,,0.00038029487479507296,4
2015-09-02,-0.1492424395711324,1,0.0,0.00039964519304813706,,0.00039964519304813706,4
2015-09-07,-0.5312384928935887,1,0.0,0.0,,0.0,4
2015-09-08,-0.14296082051402767,1,0.0,0.0,,0.0,4
2015-09-09,-0.39909129033729673,1,0.0,0.0,,0.0,4
2015-09-10,-0.6610310665570596,1,0.0,0.00011694196754863384,,0.00011694196754863384,4
2015-09-11,-0.7300842481695229,1,0.0,0.0002046245140168157,,0.0002046245140168157,4
2015-09-14,-0.1324143420298508,1,0.0,5.845218611177927e-05,,5.845218611177927e-05,4
2015-09-15,-0.08121733553077684,1,0.0,8.767315448010571e-05,,8.767315448010571e-05,4
2015-09-16,0.23036946710198938,1,0.0,0.000116887291429002,,0.000116887291429002,4
2015-09-17,0.013188777940608354,1,0.0,0.0,,0.0,4
2015-09-18,-0.2667882139296213,1,0.0,0.0001753138605087301,,0.0001753138605087301,4
2015-09-21,-0.13996654453950164,1,0.0,2.92138551576393e-05,,2.92138551576393e-05,4
2015-09-22,-0.513027880500502,1,0.0,9.737667244436032e-05,,9.737667244436032e-05,4
2015-09-23,-0.7351247731861916,1,0.0,4.8683595575749194e-05,,4.8683595575749194e-05,4
2015-09-24,-0.7384887438484512,1,0.0,2.9208735359054216e-05,,2.9208735359054216e-05,4
2015-09-25,-0.49867960663677474,0,0.0,0.00014603941116897445,,0.00014603941116897445,4
2015-09-28,-0.12309935746174598,0,0.0,0.00017522170412842542,,0.00017522170412842542,4
2015-09-29,-0.41332937900074596,1,0.0,6.812983600168465e-05,,6.812983600168465e-05,4
2015-09-30,-0.39938983070327183,0,0.0,0.00042821550918703544,,0.00042821550918703544,4
2015-10-08,-0.10047500652143077,0,0.0,0.0,,0.0,4
2015-10-09,0.0226441736833303,0,0.0,0.0002529601198639764,,0.0002529601198639764,4
2015-10-12,0.5143386995108262,0,0.0,0.0,,0.0,4
2015-10-13,0.398712350877913,0,0.0,0.00024317173760768362,,0.00024317173760768362,4
2015-10-14,0.4310786823666797,0,0.0,0.0002236636099306466,,0.0002236636099306466,4
2015-10-15,0.026227342640359558,0,0.0,5.833398148902269e-05,,5.833398148902269e-05,4
2015-10-16,-0.17270671447034136,0,0.0,0.00014582644708438508,,0.00014582644708438508,4
2015-10-19,-0.3398510001734866,0,0.0,0.00010692380221044573,,0.00010692380221044573,4
2015-10-20,-0.27531446002133203,0,0.0,5.831583858184608e-05,,5.831583858184608e-05,4
2015-10-21,0.574880649135542,0,0.0,7.774991739051273e-05,,7.774991739051273e-05,4
2015-10-22,0.10480138333755473,0,0.0,0.0,,0.0,4
2015-10-23,-0.17629483998429277,0,0.0,0.00016521536308511386,,0.00016521536308511386,4
2015-10-26,-0.6730410176807488,0,0.0,0.0001457541807157181,,0.0001457541807157181,4
2015-10-27,-0.6999238691674098,0,0.0,9.715529302045667e-05,,9.715529302045667e-05,4
2015-10-28,-0.8289495722067182,0,0.0,7.771668382883234e-05,,7.771668382883234e-05,4
2015-10-29,-0.6363214191258781,0,0.0,7.771064441564057e-05,,7.771064441564057e-05,4
2015-10-30,-0.4609661304810755,0,0.0,0.00033024457524710726,,0.00033024457524710726,4
2015-11-02,-0.41883501287209457,0,0.0,7.767895288779414e-05,,7.767895288779414e-05,4
2015-11-03,-0.5468775009348775,0,0.0,4.8545574585334705e-05,,4.8545574585334705e-05,4
2015-11-04,0.33417961337733115,0,0.0,3.883457442155347e-05,,3.883457442155347e-05,4
