,多空收益,多空仓位,纯多收益,纯多仓位,持有收益,仅量价收益
2017-12-14,0.0008138286720956661,0.09386031921040802,0.0008138286720956661,0.09386031921040802,0.002409638554216942,0.0008138286720956661
2017-12-15,-9.674571864377315e-05,-0.15602576453798608,-1.87328363747801e-05,0.0,-0.0024038461538461453,-6.566299597998404e-05
2017-12-18,0.0010971179400692684,-0.21758407049081485,0.0,0.0,-0.0072289156626506035,0.0006474256089777137
2017-12-19,-0.001323362616496371,-0.09386031921040788,4.828491965369608e-05,0.0,0.0060679611650484855,-0.0009220223914689687
2017-12-20,0.0010126034927876995,0.09386031921040802,0.0001365436760602113,0.09386031921040802,-0.00965018094089265,0.0010126034927876995
2017-12-21,0.0001462619680170667,-0.15602576453798608,0.00022427485028605974,0.0,0.0,0.0002086109866052552
2017-12-22,0.00018648541872352513,-0.45324474600825654,0.00012547414749963792,0.0,-0.0012180267965895553,-1.4941645539803854e-05
2017-12-25,0.005596911471143261,-0.031327727361609055,0.00019301293186635426,0.0,-0.012195121951219412,0.004920384225549664
2017-12-26,-0.0003644101922846835,0.15602576453798608,-7.801288226899305e-05,0.15602576453798608,0.008641975308641747,-0.0003644101922846835
2017-12-27,-0.0004280053537295415,0.031327727361609194,-0.0004280053537295415,0.031327727361609194,-0.002447980416156681,-0.0004280053537295415
2017-12-28,-0.0002230813141573647,-0.33795704239702445,-5.410279295885247e-05,0.0,-0.0012269938650306678,-0.00016289482820425988
2017-12-29,-0.00015775777437919669,-0.15602576453798608,0.0024325541818910335,0.0,0.00982800982800991,0.0007615589636340058
2018-01-02,-0.0013720590693534482,-0.45324474600825654,0.0004194211987458285,0.0,0.010948905109489093,-0.0007485717356363127
2018-01-03,-0.0036401899704565383,-0.561935209500679,0.00015971251746838,0.0,0.008423586040914532,-0.0036401899704565383
2018-01-04,0.0016338775157555554,-0.7548933452725749,0.0011078286558343642,0.0,0.0,0.0016338775157555554
2018-01-05,-0.00030978229483209844,-0.7974687911932673,0.00034892878861914056,0.0,0.0011933174224343368,-0.00030978229483209844
2018-01-08,-0.0007028000971389151,-0.9111270911804993,0.0001694205816109573,0.0,0.0011918951132301459,-0.0007028000971389151
2018-01-09,0.0010514140162991698,-0.9776492756785788,0.0,0.0,-0.0011904761904761862,0.0010514140162991698
2018-01-10,0.004782634909580272,-0.9447450738962128,6.981290142427099e-05,0.0,-0.004767580452920139,0.004782634909580272
2018-01-11,-0.005691761237422579,-0.8755348612810272,0.0,0.0,0.0059880239520957446,-0.005691761237422579
2018-01-12,0.0047686466343293986,-0.9111270911804993,0.00032909498878086474,0.0,-0.004761904761904745,0.0047686466343293986
2018-01-15,0.024754925841062526,0.09386031921040802,5.276278612166625e-05,0.09386031921040802,-0.027511961722488043,0.024786192136986924
2018-01-16,0.00017821703563487406,-0.15602576453798608,0.00025622991790386713,0.0,0.002460024600245969,6.063836677864063e-05
2018-01-17,0.0002375334305310605,-0.15602576453798608,3.98700237227434e-05,0.0,-0.0012269938650306678,0.00020675427755464612
2018-01-18,-0.00013871105663263065,-0.7099815003377987,0.00011960530250165746,0.0,0.0,-0.0001005692038512386
2018-01-19,0.0030372633706436665,-0.7548933452725749,0.00025911383069887606,0.0,-0.003685503685503577,0.0030372633706436665
2018-01-22,-0.01087700947010052,-0.39633697601347384,0.00026901004304158427,0.0,0.01479654747225645,-0.010848555585103127
2018-01-23,0.00033011459081413433,-0.7548933452725749,1.9921310822512694e-05,0.0,-0.0012150668286755595,0.0004288488968003665
2018-01-24,-0.009037393040657624,-0.6627920691587282,0.000109565026843228,0.0,0.012165450121654597,-0.009037393040657624
2018-01-25,0.0017743171219116644,-0.7974687911932673,0.0001493904868139495,0.0,-0.0024038461538461453,0.0017743171219116644
2018-01-26,0.0025122777281829938,-0.7974687911932673,0.0003286099797854547,0.0,-0.002409638554216831,0.0025122777281829938
2018-01-29,0.009030234963218534,-0.6627920691587282,0.00023891056781089048,0.0,-0.010869565217391353,0.009030234963218534
2018-01-30,0.0019660580983633202,-0.6627920691587282,0.0002089968152865218,0.0,-0.0024420024420024333,0.0019660580983633202
2018-01-31,0.016111798428899555,0.7548933452725749,-1.9241281645103264e-05,0.7548933452725749,-0.024479804161566587,0.016111798428899555
2018-02-01,-0.029393150277469048,0.9776492756785788,-0.029393150277469048,0.9776492756785788,-0.038895859473023875,-0.029393150277469048
2018-02-02,-0.006385084840681937,0.9447450738962128,-0.006385084840681937,0.9447450738962128,-0.00652741514360311,-0.006385084840681937
2018-02-05,-0.002499713259153443,0.9111270911804993,-0.002499713259153443,0.9111270911804993,-0.0026281208935611255,-0.002499713259153443
2018-02-06,-0.043248775298438784,0.9776492756785788,-0.043248775298438784,0.9776492756785788,-0.04743083003952575,-0.043248775298438784
2018-02-07,0.0,0.9776492756785788,0.0,0.9776492756785788,0.0,0.0
2018-02-08,0.013526565202805894,0.9776492756785788,0.013526565202805894,0.9776492756785788,0.013831258644536604,0.013526565202805894
2018-02-09,-0.03067035822099599,0.9776492756785788,-0.03067035822099599,0.9776492756785788,-0.03137789904502053,-0.03067035822099599
2018-02-12,0.0288906791818589,0.9111270911804993,0.0288906791818589,0.9111270911804993,0.029577464788732355,0.0288906791818589
2018-02-13,0.0024854454887957875,0.7974687911932673,0.0024854454887957875,0.7974687911932673,0.002735978112175186,0.0024854454887957875
2018-02-14,0.0024615019188939367,0.7974687911932673,0.0024615019188939367,0.7974687911932673,0.0027285129604366354,0.0024615019188939367
2018-02-22,0.01191361935612265,0.7548933452725749,0.01191361935612265,0.7548933452725749,0.014965986394557929,0.01191361935612265
2018-02-23,0.0009738703138404137,0.5084988673712059,0.0009738703138404137,0.5084988673712059,0.0013404825737266535,0.0009738703138404137
2018-02-26,0.012287120842851842,0.5084988673712059,0.012287120842851842,0.5084988673712059,0.024096385542168752,0.012287120842851842
2018-02-27,0.0032966985343459766,0.39633697601347395,0.0032966985343459766,0.39633697601347395,0.006535947712418277,0.0032966985343459766
2018-02-28,0.0005693746335700439,0.3379570423970245,0.0005693746335700439,0.3379570423970245,0.0012987012987013546,0.0005693746335700439
2018-03-01,0.00490706562637552,0.3379570423970245,0.00490706562637552,0.3379570423970245,0.014267185473411104,0.00490706562637552
2018-03-02,-0.0011531489388660907,0.21758407049081485,-0.0011531489388660907,0.21758407049081485,-0.0038363171355498826,-0.0011531489388660907
2018-03-05,0.0011872641168982404,0.09386031921040802,0.0011872641168982404,0.09386031921040802,0.005134788189987249,0.0011872641168982404
2018-03-06,0.0010085596286680452,0.031327727361609194,0.0010085596286680452,0.031327727361609194,0.010217113665389466,0.0010085596286680452
2018-03-07,-0.0002948749755050706,-0.21758407049081485,-0.00018608294025966316,0.0,-0.007585335018963302,-0.0002948749755050706
2018-03-08,-0.001235222017133544,-0.27830227900221255,0.0001486738294413925,0.0,0.006369426751592355,-0.001235222017133544
2018-03-09,-0.005324030788341359,0.15602576453798608,6.072873129598134e-05,0.15602576453798608,0.018987341772152,-0.00529294806567757
2018-03-12,0.0019272463280253795,0.27830227900221266,0.0019272463280253795,0.27830227900221266,0.012422360248447006,0.0011276179360921853
2018-03-13,-0.001217492602324902,0.21758407049081485,-0.001217492602324902,0.21758407049081485,-0.00490797546012256,-0.001217492602324902
2018-03-14,-0.0026190913313144226,0.3379570423970245,-0.0026190913313144226,0.3379570423970245,-0.012330456226880449,-0.0026190913313144226
2018-03-15,-0.0007795772770454242,-0.5084988673712059,-0.0005253278433598213,0.0,-0.0012484394506866447,-0.0007795772770454242
2018-03-16,-0.0003927705143006792,-0.7099815003377987,0.00022777238606441763,0.0,0.0012499999999999734,-0.0003927705143006792
2018-03-19,0.00015624596377446508,-0.8376784719947828,0.0001287115969146324,0.0,0.0,0.00015624596377446508
2018-03-20,0.001337911528817193,-0.9447450738962128,0.0001880927396202825,0.0,-0.0012484394506866447,0.001337911528817193
2018-03-21,0.0047086892936724885,-0.8376784719947828,1.979551235731236e-05,0.0,-0.0050000000000000044,0.0047086892936724885
2018-03-22,0.00245133421271461,-0.9447450738962128,0.00021774632553084317,0.0,-0.002512562814070307,0.00245133421271461
2018-03-23,0.04790511534927964,0.39633697601347395,0.0003064971957163564,0.39633697601347395,-0.05037783375314864,0.04790511534927964
2018-03-26,0.005200377622139054,0.5084988673712059,0.005200377622139054,0.5084988673712059,0.013262599469495928,0.005200377622139054
2018-03-27,0.015276441106950308,0.39633697601347395,0.015276441106950308,0.39633697601347395,0.030104712041884918,0.015276441106950308
2018-03-28,-0.003224928719774762,-0.09386031921040788,-0.003177998560169558,0.0,-0.007623888182973326,-0.003256011442438551
2018-03-29,-0.0009283972705752051,-0.5084988673712059,0.0,0.0,0.007682458386683688,-0.0013748979947301955
2018-03-30,-0.0067653358397995736,-0.561935209500679,0.0006727610906642756,0.0,0.015247776365946653,-0.0067653358397995736
2018-04-02,-0.0023621643001901843,-0.7099815003377987,0.00033615439373591016,0.0,0.005006257822277815,-0.0023621643001901843
2018-04-03,0.008921455760987584,-0.5084988673712059,0.0006226650062266526,0.0,-0.011207970112079746,0.008921455760987584
2018-04-04,0.0036238519540893435,-0.7974687911932673,0.0003753420057091006,0.0,-0.006297229219143552,0.0036238519540893435
2018-04-09,0.0006188121757914547,-0.8376784719947828,0.0003554537465810803,0.0,0.0,0.0006188121757914547
2018-04-10,-0.0006782251546690609,-0.9776492756785788,0.00024675516952110677,0.0,0.0012674271229404788,-0.0006782251546690609
2018-04-11,-0.007476241579441186,-0.8755348612810272,0.0,0.0,0.0075949367088608,-0.007476241579441186
2018-04-12,0.0043996726697539245,-0.8755348612810272,0.0,0.0,-0.005025125628140725,0.0043996726697539245
2018-04-13,0.002604223660309638,-0.9776492756785788,0.00023691068467179832,0.0,-0.002525252525252486,0.002604223660309638
2018-04-16,0.0,-0.9776492756785788,0.0,0.0,0.0,0.0
2018-04-17,0.020825435450080764,-0.39633697601347384,3.9475761882235005e-05,0.0,-0.021518987341772156,0.020825435450080764
2018-04-18,-0.005847265098726372,0.15602576453798608,-2.8670127758919744e-05,0.15602576453798608,0.014230271668822736,-0.005847265098726372
2018-04-19,6.576259358109625e-05,-0.5084988673712059,0.00032001202726669915,0.0,0.0025510204081633514,6.576259358109625e-05
2018-04-20,0.009960688069894932,-0.21758407049081485,0.0002664692820131265,0.0,-0.01908396946564883,0.009960688069894932
2018-04-23,0.002353086955919227,0.15602576453798608,-7.801288226899305e-05,0.15602576453798608,-0.011673151750972721,0.002353086955919227
2018-04-24,0.0031064893972091753,0.5619352095006791,0.0031064893972091753,0.5619352095006791,0.0209973753280841,0.003080752882993193
2018-04-25,0.0012938904208240009,-0.09386031921040788,0.0013408205804292046,0.0,0.0025706940874035134,0.0013796512502515482
2018-04-26,0.0015923879792887907,0.27830227900221266,0.00016661401313481096,0.27830227900221266,-0.015384615384615441,0.0015923879792887907
2018-04-27,-0.0005417329475308692,-0.5084988673712059,-0.0002874835138452662,0.0,-0.0026041666666666297,-0.0005417329475308692
2018-05-02,0.001260434458669405,-0.45324474600825654,0.00041380533414780984,0.0,-0.0013054830287205776,0.001260434458669405
2018-05-03,-0.003570771071687936,-0.27830227900221255,4.924216310953078e-05,0.0,0.007843137254901933,-0.003570771071687936
2018-05-04,0.0002478726016333397,-0.6134082379326439,0.0003249822736941521,0.0,0.0,0.0002478726016333397
2018-05-07,-0.009553530793074232,-0.15602576453798608,0.00013782647646620738,0.0,0.015564202334630295,-0.009553530793074232
2018-05-08,-0.0007740364155468299,-0.5084988673712059,0.0,0.0,0.003831417624521105,-0.0007740364155468299
2018-05-09,0.0004753358121538864,-0.9111270911804993,1.9691629088436358e-05,0.0,-0.0012722646310432406,0.0004753358121538864
