,h1_固定40,h1_自适应,h5_固定40,h5_自适应
2018-10-12,0.04859549083910583,0.048611942939997016,0.057025878917844906,0.0589904638219611
2018-10-15,-0.07154937916617593,-0.06912179024275769,0.02033247856735837,-0.029302976585816976
2018-10-16,0.053531494792233236,0.0535136986772835,-0.03484816000935097,-0.019155459892948784
2018-10-17,-0.012248004827837822,-0.011791547947745215,0.006062436155441969,0.004406095624626052
2018-10-18,-0.0016564695209272421,-0.0015082569079488122,0.0014991034417966584,0.0014893612490818214
2018-10-19,-0.03493625520695083,-0.03369229336183154,0.016582387408755967,0.005636758091910547
2018-10-22,0.039500980835498176,0.03815506603632957,0.0011422794862649193,0.008593363491665552
2018-10-23,0.039871382127891944,0.039871382127891944,0.011211085204226227,0.02493566513257319
2018-10-24,-0.029196110292045042,-0.029196110292045042,-0.028191698373908464,-0.029179658191153857
2018-10-25,-0.01821688508320123,-0.018197956888558107,-0.018163351782250516,-0.018798996811367152
2018-10-26,0.01792816975907686,0.018719878388476635,0.020311789362301207,0.02103896358000342
2018-10-29,0.0009574498893089543,0.0009276225076115483,0.0014661111415846307,0.0016784556105781953
2018-10-30,-0.004557544813419167,-0.003697041331083472,-0.008389162913823077,-0.011262092601946204
2018-10-31,0.0052685770545358775,0.0031307714641390333,0.01139182195158944,0.010621965017878907
2018-11-01,0.00851079688670731,0.009306801357942339,0.015011889069920578,0.013957174089025404
2018-11-02,0.028443943683551104,0.03000088065763981,0.034980439927270554,0.034980439927270554
2018-11-05,0.0014331670582952694,0.0024171748475184736,0.0025472990694313325,0.0025472990694313325
2018-11-06,0.001379501445692527,0.0015661156781550261,0.0017099411727446003,0.001763474473695315
2018-11-07,0.0008021329774607275,0.0011936156604729245,0.0014611574511756561,0.0016626736980232342
2018-11-08,-0.0001734549022320489,0.0013582810207239452,0.003697872742010221,0.004428883335671206
2018-11-09,0.0044187730813380465,0.0032142319249202876,-0.006761024754649306,-0.011198634450487101
2018-11-12,-0.001746422723933719,-0.0013802147242274539,-0.00029768009256714176,0.0008996828675701823
2018-11-13,-0.015187109585937044,-0.015279139862567357,-0.009746862936906703,0.0005821598183113575
2018-11-14,0.01641917330593177,0.021382802401801505,0.007481842037933889,0.01061766498100137
2018-11-15,0.0007820880302311663,0.0010468788912005294,0.0005523548684320963,0.0006785525669419781
2018-11-16,-0.004120812403464847,-0.00033183640589413353,0.0035188586681506842,0.005351399925484541
2018-11-19,-0.0032548293557225845,-0.0010564317061171591,0.0018612468253599362,0.0027136205196027817
2018-11-20,0.002937444289046246,0.0017856864057463626,0.0006976208946273085,-0.0009111228986969931
2018-11-21,0.020507658673582105,0.01366406624932596,0.016545726911679316,0.0075201403942569515
2018-11-22,0.001540817774085401,0.008030397761870424,0.006158728343849855,0.006127400616488246
2018-11-23,0.0004503841447838234,-0.0023761240988960713,-9.439501534223019e-05,0.0003680197220015306
2018-11-26,0.041115819600427886,0.03145778509606548,0.020282847327081,0.011080557822795096
2018-11-27,0.000176625133008985,0.004707229889868398,0.004985000446312318,0.005045186932265423
2018-11-28,0.0008166572000148683,0.0005797416411143356,-0.0004851715418183193,-0.0006387589896199664
2018-11-29,-0.01140294015711163,-0.010036119211700441,0.0007493278092329939,0.006899538044432811
2018-11-30,0.0057123833227603164,0.000634654184022857,0.007386811035196667,0.0040789819248943345
2018-12-03,0.004891791396561073,0.01982854616134167,-0.001335441198943696,0.006719261006357688
2018-12-04,-0.001705345654374515,0.002252382885363556,-0.004572732656105459,-0.003544219751635602
2018-12-05,-0.005168372018177001,-0.006189826552993999,3.9189645984243196e-05,-0.0012535887056010814
2018-12-06,0.0006806296446910877,0.0021398703487372677,-0.0016674718493238263,-0.0007028335311889253
2018-12-07,0.0027811404024188457,-0.0012623128427590709,0.0011834615762947925,0.00296662090883094
2018-12-10,0.0048660358330183265,0.0025169014159422457,0.002171511020372253,0.0012860834716315402
2018-12-11,0.0017334207015577393,0.0016586278173644894,0.0013160074556754562,0.0012352377318178916
2018-12-12,-0.005187721794186679,-0.005204530785544536,-0.0037726061377239975,-0.0035232036779038614
2018-12-13,-0.003338321815887701,-0.0032363393488861456,-0.0027788456163428616,-0.002642602440100792
2018-12-14,0.007013192573658468,0.007013192573658468,0.0073054433863344835,0.0073054433863344835
2018-12-17,0.011992744254133365,0.011850927788884132,0.01395283594157552,0.014064971058606589
2018-12-18,0.00526913825515396,0.002612893422633318,0.005583599764065491,0.007747229357950448
2018-12-19,-0.0012253987067454245,-0.001068335909875432,-0.0017743181046797171,-0.0017743181046797171
2018-12-20,0.015155229797185862,0.017098494889982205,0.017711037602872775,0.017711037602872775
2018-12-21,-0.0010197585847192337,-0.001323379462403863,-0.0013069273615126799,-0.0013069273615126799
2018-12-24,0.0030783035679803994,0.003688716944728531,0.003830177586099865,0.003830177586099865
