,510300_择时收益,510300_仓位,510500_择时收益,510500_仓位,512100_择时收益,512100_仓位,159915_择时收益,159915_仓位,588000_择时收益,588000_仓位,510880_择时收益,510880_仓位
2021-09-09,-0.0001000515604844,-0.2155059093576663,0.004412345771961,0.4731328339642244,-0.0006286024367222,-0.19495042322037537,-4.710542281455576e-05,-0.2446962075036697,-0.0003490322459806,-0.0499999999999999,0.0054466359751244,0.3440298699640631
2021-09-10,-0.0021654681753288,0.2377729862810196,-0.0001902221512353,0.2896037889658061,-0.0014335705443031,-0.22051672134643746,-0.0007113629951807,0.0875739390549659,-0.000886836077988,0.0666666666666666,-0.006282642300061,0.2967816604910034
2021-09-13,-0.0013301007395532,0.0996185036733295,0.000948758623642,0.2234759859790433,-4.546431789560715e-05,-0.28123577445934317,-0.0011176023076926,0.087110990144008,-0.0021293072424651,0.3666666666666667,0.0063431815857781,0.2411772975498661
2021-09-14,-0.0012619007067473,0.3102942494050449,-0.0023854013568851,0.2917971566099477,0.0006573122120448,-0.17978475934022276,0.0013688992211221,0.0042907286352605,0.0036403368275726,0.3083333333333333,-0.004851932797254,0.1537934737531136
2021-09-15,-0.0033745531983413,0.1149106641988486,0.0012319385197215,0.2526105599336095,0.0002219093455707,-0.11298783789785452,-9.841131091451702e-05,-0.1360709872047058,-0.0032758159706396,0.0999999999999999,-0.0010655636215473,0.2102129614427955
2021-09-16,-0.0012430421074041,0.0921043745383725,-0.0046390305198361,0.4614255825836144,-0.0079374647176487,-0.09750858433910908,0.0031521597155978,-0.1262798136370684,-0.0024689477424525,0.3083333333333333,-0.0007649804844041,0.2246941632925163
2021-09-17,0.0008983947340639,-0.0629424608380055,-0.0036785797423128,0.6063698313448698,4.297681488678765e-05,0.016961605975288348,-0.0025353183966082,0.3834029520433118,0.0024195791397427,-0.0583333333333333,-0.0058903465500169,0.370469721534781
2021-09-22,0.0003718461297458,-0.1622295875696581,0.0059641015610483,0.5547328931410825,0.0007769133290365,0.1154712823273846,-0.0037877651328861,-0.0118330875383786,-2.1983368719031025e-05,-0.35,0.0066339746492315,0.3377419237320549
2021-09-23,-0.0009306274604138,-0.0860077724000984,0.0030113989674326,0.437001820948085,0.000819691962309,-0.04866126462239332,-6.694716757991434e-05,-0.126320819892244,-0.0021793612782911,-0.4,-0.0009765009096197,0.1549529417846676
2021-09-24,5.737356331237123e-05,-0.0899316230455706,-0.0064228333415273,0.509700986333845,-0.0014295052951213,-0.13245826722096452,-0.0008227218250422,0.0128734714363921,-0.0023195531430133,-0.4333333333333333,-0.0054182013595928,0.5028581910325267
2021-09-27,-0.0006403274348308,0.1092462136508632,-0.0140606914308365,0.5575395792711252,-0.0008730827639871,0.12498708233766008,5.516277744426864e-05,0.154124663381161,0.0012577060177191,-0.4583333333333333,-0.013507361817784,0.5554673600673842
2021-09-28,-0.0001783510010493,-0.2016450609911737,0.0004164162629655,0.5258640765110079,0.0006127864036247,0.30557625160922053,-0.0007854645851667,-0.1738423239793092,0.005712684681117,-0.3666666666666667,0.0141320365071428,0.5197390369401107
2021-09-29,0.001471772690083,-0.0097770551567452,-0.0118446930503626,0.702490307344092,-0.003979878180362,0.31226466436339184,0.0019058297949342,-0.0856915357179252,0.0023359684599646,-0.375,-0.0137343704985657,0.5119956382480647
2021-09-30,0.0005768376495848,-0.1902412222885013,0.0064828046669015,0.6283944962691221,0.0115806379619095,0.5403661219571297,-0.0013265293823033,0.4482882454887573,-0.0055994509185096,-0.15,0.0027634540792101,0.3721773385855691
2021-10-08,-0.0027842194946685,-0.095815113390661,-0.0010017119220414,0.3597778949921471,0.0031354282648584,0.4710113421362473,-0.0017174072551866,-0.1384433837614558,0.0005491332864839,-0.3166666666666666,-0.0014321612205675,-0.0832302896979801
2021-10-11,7.176336162494057e-05,-0.1197754733244513,-0.000371390775056,0.1744423197766813,-0.003526142257637,0.4227939464445995,0.0018269217743699,0.0478877571393036,0.0029536558413367,-0.2583333333333333,-0.0011595183604294,0.0395669008642976
2021-10-12,0.0012704485795501,0.0922170591681436,-0.0034093356360809,0.4742450854813588,-0.0130107920787948,0.4385997755047888,-0.0007350310324358,0.0719595205921728,0.0060536313190619,0.0749999999999999,-0.0005124072087989,0.277294931432572
